id,artist,track,tag_gender,tag_lang,tag_back_voc,feat_yaafe,feat_marsyas,feat_essentia
5073,comptine,une-souris-verte,female,fr,0,1,1,1
5089,the-beatles,let-it-be,mixed,,1,1,1,1
5090,jean-jacques-goldman,la-bas,mixed,fr,0,1,1,1
5091,amel-bent,ma-philosophie,mixed,,1,1,1,1
5092,andrea-bocelli,vivo-per-lei,mixed,,0,1,1,1
5094,billy-joel,honesty,mixed,,1,1,1,1
5097,celine-dion,s-il-suffisait-d-aimer,female,fr,0,1,1,1
5098,charles-aznavour,je-m-voyais-deja,male,fr,0,1,1,1
5100,claude-francois,comme-d-habitude,mixed,,1,1,1,1
5101,debut-de-soiree,nuit-de-folie,mixed,,1,1,1,1
5103,frank-sinatra,my-way,male,en,0,1,1,1
5104,gilbert-becaud,nathalie,mixed,,1,1,1,1
5105,il-etait-une-fois,j-ai-encore-reve-d-elle,mixed,,1,1,1,1
5111,maroon-5,this-love,mixed,,1,1,1,1
5115,patrick-bruel,place-des-grands-hommes,mixed,,1,1,1,1
5117,renaud,mistral-gagnant,male,fr,0,1,1,1
5119,telephone,ca-c-est-vraiment-toi,mixed,,1,1,1,1
5120,telephone,new-york-avec-toi,mixed,,1,1,1,1
5122,thierry-hazard,le-jerk,mixed,,1,1,1,1
5123,umberto-tozzi,ti-amo,mixed,,1,1,1,1
5125,zazie,j-envoie-valser,female,,0,1,1,1
5132,johnny-hallyday,allumer-le-feu,mixed,,1,1,1,1
5139,maroon-5,sunday-morning,mixed,,1,1,1,1
5236,evanescence,my-immortal,mixed,,1,1,1,1
5259,alicia-keys,if-i-ain-t-got-you,mixed,,1,1,1,1
5264,michael-buble,sway,male,en,0,1,1,1
5286,maroon-5,she-will-be-loved,mixed,,1,1,1,1
5313,the-jackson-5,blame-it-on-the-boogie,mixed,,1,1,1,1
5342,kt-tunstall,black-horse-and-the-cherry-tree,mixed,,1,1,1,1
5405,status-quo,rockin-all-over-the-world,mixed,,1,1,1,1
5407,lionel-richie,all-night-long,mixed,,1,1,1,1
5408,donna-summer,hot-stuff,mixed,,1,1,1,1
5411,chris-de-burgh,the-lady-in-red,mixed,,1,1,1,1
5416,elton-john,your-song,male,en,0,1,1,1
5423,katrina-and-the-waves,walking-on-sunshine,mixed,,1,1,1,1
5446,corinne-bailey-rae,put-your-records-on,mixed,,1,1,1,1
5449,europe,the-final-countdown,mixed,,1,1,1,1
5454,usa-for-africa,we-are-the-world,mixed,,1,1,1,1
5458,status-quo,down-down,mixed,,1,1,1,1
5460,queen,i-want-to-break-free,mixed,,1,1,1,1
5462,creedence-clearwater-revival,proud-mary,mixed,,1,1,1,1
5466,gary-moore,still-got-the-blues,male,en,0,1,1,1
5468,whitney-houston,i-wanna-dance-with-somebody,mixed,,1,1,1,1
5471,bill-withers,ain-t-no-sunshine,male,en,0,1,1,1
5479,smokie,living-next-door-to-alice,mixed,,1,1,1,1
5482,roy-orbison,oh-pretty-woman,mixed,,1,1,1,1
5484,john-denver,annie-s-song,mixed,,1,1,1,1
5485,boney-m,daddy-cool,mixed,,1,1,1,1
5487,alicia-keys,fallin,mixed,,1,1,1,1
5506,robbie-williams,somethin-stupid,mixed,en,0,1,1,1
5516,rod-stewart,sailing,mixed,,1,1,1,1
5519,tina-turner,the-best,mixed,,1,1,1,1
5526,the-police,message-in-a-bottle,mixed,,1,1,1,1
5527,ronan-keating,we-ve-got-tonight,mixed,en,0,1,1,1
5545,christina-aguilera,car-wash,mixed,,1,1,1,1
5549,michael-buble,quando-quando-quando,mixed,en,0,1,1,1
5583,kelly-clarkson,because-of-you,mixed,,1,1,1,1
5606,georges-brassens,les-copains-d-abord,mixed,,1,1,1,1
5635,papa-roach,scars,mixed,,1,1,1,1
5652,howie-day,collide,mixed,,1,1,1,1
5682,luther-vandross,dance-with-my-father,mixed,,1,1,1,1
5709,elvis-presley,hey-jude,mixed,,1,1,1,1
5736,toby-keith,i-love-this-bar,mixed,,1,1,1,1
5740,3-doors-down,here-without-you,mixed,,1,1,1,1
5743,outkast,hey-ya,mixed,,1,1,1,1
5760,josh-turner,long-black-train,mixed,,1,1,1,1
5777,bette-midler,the-rose,mixed,,1,1,1,1
5781,alan-jackson,remember-when,mixed,,1,1,1,1
5796,britney-spears,toxic,mixed,,1,1,1,1
5830,josh-groban,you-raise-me-up,mixed,,1,1,1,1
5832,gretchen-wilson,redneck-woman,mixed,,1,1,1,1
5844,brad-paisley,whiskey-lullaby,mixed,,1,1,1,1
5910,edith-piaf,la-vie-en-rose,female,fr,0,1,1,1
5911,edith-piaf,non-je-ne-regrette-rien,female,fr,0,1,1,1
5919,britney-spears,baby-one-more-time,mixed,,1,1,1,1
5921,gloria-gaynor,i-will-survive,female,en,0,1,1,1
5936,the-coasters,poison-ivy,mixed,,1,1,1,1
5942,celine-dion,my-heart-will-go-on,mixed,,1,1,1,1
5943,celine-dion,all-by-myself,female,en,0,1,1,1
5952,garou,sous-le-vent,mixed,,1,1,1,1
5965,jean-jacques-goldman,envole-moi,mixed,,1,1,1,1
5968,jean-jacques-goldman,je-te-donne,mixed,,1,1,1,1
5969,jean-jacques-goldman,quand-la-musique-est-bonne,mixed,,1,1,1,1
5990,joe-dassin,l-amerique,mixed,,1,1,1,1
5993,lara-fabian,tu-es-mon-autre,females,fr,0,1,1,1
5995,joe-dassin,et-si-tu-n-existais-pas,mixed,,1,1,1,1
5996,joe-dassin,les-champs-elysees,mixed,,1,1,1,1
5999,joe-dassin,salut-les-amoureux,mixed,,1,1,1,1
6001,hugues-aufray,santiano,mixed,,1,1,1,1
6006,marc-lavoine,elle-a-les-yeux-revolver,mixed,,1,1,1,1
6011,nadiya,et-c-est-parti,mixed,,1,1,1,1
6041,dwight-yoakam,fast-as-you,mixed,,1,1,1,1
6094,michael-jackson,black-or-white,mixed,,1,1,1,1
6097,diana-ross,endless-love,mixed,en,0,1,1,1
6100,sarah-mclachlan,angel,female,en,0,1,1,1
6106,kyo,le-chemin,mixed,,1,1,1,1
6117,bonnie-tyler,total-eclipse-of-the-heart,mixed,,1,1,1,1
6122,engelbert-humperdinck,after-the-lovin,mixed,,1,1,1,1
6126,patsy-cline,crazy,mixed,,1,1,1,1
6132,the-eagles,desperado,mixed,,1,1,1,1
